subjects,grades,years,groups
Math,4,2009,Black
Math,4,2009,Hispanic
Math,4,2009,White
Math,4,2019,Black
Math,4,2019,Hispanic
Math,4,2019,White
Math,4,2022,Black
Math,4,2022,Hispanic
Math,4,2022,White
Math,4,2024,Black
Math,4,2024,Hispanic
Math,4,2024,White
Math,8,2009,Black
Math,8,2009,Hispanic
Math,8,2009,White
Math,8,2019,Black
Math,8,2019,Hispanic
Math,8,2019,White
Math,8,2022,Black
Math,8,2022,Hispanic
Math,8,2022,White
Math,8,2024,Black
Math,8,2024,Hispanic
Math,8,2024,White
Reading,4,2009,Black
Reading,4,2009,Hispanic
Reading,4,2009,White
Reading,4,2019,Black
Reading,4,2019,Hispanic
Reading,4,2019,White
Reading,4,2022,Black
Reading,4,2022,Hispanic
Reading,4,2022,White
Reading,4,2024,Black
Reading,4,2024,Hispanic
Reading,4,2024,White
Reading,8,2009,Black
Reading,8,2009,Hispanic
Reading,8,2009,White
Reading,8,2019,Black
Reading,8,2019,Hispanic
Reading,8,2019,White
Reading,8,2022,Black
Reading,8,2022,Hispanic
Reading,8,2022,White
Reading,8,2024,Black
Reading,8,2024,Hispanic
Reading,8,2024,White
